path,frequency_hz,q25_db_rel_3600,median_db_rel_3600,q75_db_rel_3600
SIP D/A-A/D,0.0,-29.97156050001814,-26.50951432259454,-24.47292974461756
SIP D/A-A/D,0.48828125,-29.97099599017491,-26.51132518505223,-24.473308162726518
SIP D/A-A/D,0.9765625,-29.96930267550297,-26.516759694393556,-24.474443285061103
SIP D/A-A/D,1.46484375,-29.966481200470884,-26.52582362384867,-24.47633471548517
SIP D/A-A/D,1.953125,-29.962532638843495,-26.53852661994154,-24.478981793240646
SIP D/A-A/D,2.44140625,-29.95745849314812,-26.554882239403877,-24.482383592148885
SIP D/A-A/D,2.9296875,-29.95126069391014,-26.57490800126204,-24.486538919490513
SIP D/A-A/D,3.41796875,-29.943941598641278,-26.598625454511467,-24.49144631455999
SIP D/A-A/D,3.90625,-29.9355039905571,-26.626060261922465,-24.497104046891614
SIP D/A-A/D,4.39453125,-29.925951076999528,-26.6572423006525,-24.503510114153304
SIP D/A-A/D,4.8828125,-29.915286487534207,-26.69220578049021,-24.51066223970114
SIP D/A-A/D,5.37109375,-29.90351427168832,-26.73098938070698,-24.533982964331162
SIP D/A-A/D,5.859375,-29.890049518601,-26.773636406666125,-24.56994305507518
SIP D/A-A/D,6.34765625,-29.85506626826341,-26.820194967523594,-24.609165991215782
SIP D/A-A/D,6.8359375,-29.817867707814717,-26.87071817656188,-24.65168694261637
SIP D/A-A/D,7.32421875,-29.77857293538943,-26.887256955767423,-24.69754438884385
SIP D/A-A/D,7.8125,-29.778200389766567,-26.83075144181127,-24.746780242702222
SIP D/A-A/D,8.30078125,-29.694189093576217,-26.821375159536508,-24.799439986463216
SIP D/A-A/D,8.7890625,-29.64935381312122,-26.870210904254016,-24.855572821655684
SIP D/A-A/D,9.27734375,-29.602928393191252,-26.909408059150326,-24.91523183337343
SIP D/A-A/D,9.765625,-29.55504302205453,-26.88756772613598,-24.978474170166876
SIP D/A-A/D,10.25390625,-29.533618145595202,-26.86482403660201,-25.04536124069972
SIP D/A-A/D,10.7421875,-29.535058068735513,-26.947046337763346,-25.11595892847792
SIP D/A-A/D,11.23046875,-29.536543207015004,-27.038861462626144,-25.190337826097352
SIP D/A-A/D,11.71875,-29.53806895866865,-27.135356078914533,-25.210410031039967
SIP D/A-A/D,12.20703125,-29.53963014967481,-27.23660968070208,-25.20609486327949
SIP D/A-A/D,12.6953125,-29.541220984569303,-27.342704909626278,-25.201646206422215
SIP D/A-A/D,13.18359375,-29.54283499497011,-27.443912887731035,-25.19706822344665
SIP D/A-A/D,13.671875,-29.539795953754048,-27.522996056461807,-25.192365056907352
SIP D/A-A/D,14.16015625,-29.50923067251961,-27.508733036450185,-25.187540808529043
SIP D/A-A/D,14.6484375,-29.477707517745745,-27.420971356889684,-25.182599518144688
SIP D/A-A/D,15.13671875,-29.445237557711994,-27.332978239871483,-25.17754514198182
SIP D/A-A/D,15.625,-29.499264824050382,-27.244886419938567,-25.17238153030279
SIP D/A-A/D,16.11328125,-29.415046159990318,-27.156821019131698,-25.16711240440117
SIP D/A-A/D,16.6015625,-29.18892034208085,-27.068899712677283,-25.16174133295876
SIP D/A-A/D,17.08984375,-29.012981278809505,-26.98123292973092,-25.15627170776425
SIP D/A-A/D,17.578125,-28.904504775287236,-26.893924081997124,-25.20421720756457
SIP D/A-A/D,18.06640625,-28.854813104380938,-26.847204627046427,-25.2955226157966
SIP D/A-A/D,18.5546875,-29.025906264192116,-26.903289287141657,-25.270040371281574
SIP D/A-A/D,19.04296875,-29.152784732526893,-26.960136021718284,-25.272936909788697
SIP D/A-A/D,19.53125,-29.11232132996582,-27.017657901317524,-25.32671418920038
SIP D/A-A/D,20.01953125,-29.071030514116753,-26.931986536458723,-25.38127984882844
SIP D/A-A/D,20.5078125,-29.030629477758016,-26.874949621346214,-25.43656965976375
SIP D/A-A/D,20.99609375,-29.126926459822275,-26.933905299376786,-25.444417052559164
SIP D/A-A/D,21.484375,-29.227410131477328,-26.99336271655069,-25.43994821571721
SIP D/A-A/D,21.97265625,-29.36114519146507,-27.011675940142442,-25.43605109314138
SIP D/A-A/D,22.4609375,-29.497807811022135,-26.845260974605615,-25.497650158900218
SIP D/A-A/D,22.94921875,-29.561484332772483,-26.683146179175694,-25.630585609652222
SIP D/A-A/D,23.4375,-29.60642438478582,-26.637659678131996,-25.58415611396742
SIP D/A-A/D,23.92578125,-29.699517471021114,-26.620313406650897,-25.451299670961955
SIP D/A-A/D,24.4140625,-29.79073660507021,-26.736417750762335,-25.426173002391693
SIP D/A-A/D,24.90234375,-29.879620628127167,-26.604149416741905,-25.42631521821406
SIP D/A-A/D,25.390625,-29.965679958357786,-26.579064356307548,-25.491430746121157
SIP D/A-A/D,25.87890625,-30.048398298109763,-26.59063520319937,-25.536126201227873
SIP D/A-A/D,26.3671875,-30.12723517765311,-26.664731273287238,-25.597569459745635
SIP D/A-A/D,26.85546875,-30.38064700401774,-26.82720126326131,-25.524342794377894
SIP D/A-A/D,27.34375,-30.313476392455968,-26.993231702158187,-25.53573662671814
SIP D/A-A/D,27.83203125,-30.33476981439677,-27.162729904184246,-25.5686984742534
SIP D/A-A/D,28.3203125,-30.39233569652487,-27.335574149029473,-25.501930134668356
SIP D/A-A/D,28.80859375,-30.43092487251777,-27.48769296411389,-25.457029444783856
SIP D/A-A/D,29.296875,-30.33700225788293,-27.564826385388,-25.464878648096754
SIP D/A-A/D,29.78515625,-30.260532532834844,-27.597719029133483,-25.423936105892622
SIP D/A-A/D,30.2734375,-30.326563499468932,-27.56896917202874,-25.319193805208627
SIP D/A-A/D,30.76171875,-30.388590887770405,-27.54145598535072,-25.35844006029162
SIP D/A-A/D,31.25,-30.446162613474336,-27.702723635628697,-25.457354684598883
SIP D/A-A/D,31.73828125,-30.49881817186332,-27.86152613998033,-25.518607866949647
SIP D/A-A/D,32.2265625,-30.546092865976938,-27.803055290570985,-25.53232076426507
SIP D/A-A/D,32.71484375,-30.542658273580425,-27.743996015209508,-25.547037298991384
SIP D/A-A/D,33.203125,-30.51096694796085,-27.921493994643598,-25.56275949331832
SIP D/A-A/D,33.69140625,-30.347073336173096,-28.12216987876269,-25.57948699265544
SIP D/A-A/D,34.1796875,-30.06719094899289,-28.261402369592485,-25.597216905219224
SIP D/A-A/D,34.66796875,-30.353231174673045,-28.276618788123766,-25.615943629242306
SIP D/A-A/D,35.15625,-30.280125764505147,-28.28749306784044,-25.635658667067514
SIP D/A-A/D,35.64453125,-30.1971391950654,-28.293857794286094,-25.656350425403094
SIP D/A-A/D,36.1328125,-30.20602342679811,-28.2955592642066,-25.67800400104861
SIP D/A-A/D,36.62109375,-30.12143185061251,-28.273550645848946,-25.70060095144536
SIP D/A-A/D,37.109375,-30.03478417559139,-28.24560905053288,-25.724119049471923
SIP D/A-A/D,37.59765625,-29.946014644431763,-28.123973574890968,-25.74853202199341
SIP D/A-A/D,38.0859375,-30.120589025137733,-27.896702481636346,-25.773809271793425
SIP D/A-A/D,38.57421875,-30.357276967242463,-27.999532537208538,-25.799915582664347
SIP D/A-A/D,39.0625,-30.421229593227395,-27.898580486700318,-25.826810807623527
SIP D/A-A/D,39.55078125,-30.34658345833256,-28.024795334709,-25.85444954045441
