path,time_s,delay_samples,fitted_delay_samples
SIP D/A-A/D,0.064,21.20475064695966,21.257572528582465
SIP D/A-A/D,0.096,21.15194617428613,21.228370144995644
SIP D/A-A/D,0.128,21.13039626386625,21.19916776140882
SIP D/A-A/D,0.16,21.09488587624261,21.169965377821995
SIP D/A-A/D,0.192,21.080557348096,21.14076299423517
SIP D/A-A/D,0.224,21.06222507682106,21.111560610648347
SIP D/A-A/D,0.256,21.04879207378379,21.082358227061526
SIP D/A-A/D,0.288,21.04071330547333,21.053155843474702
SIP D/A-A/D,0.32,21.02653724006114,21.023953459887878
SIP D/A-A/D,0.352,21.001685943776547,20.994751076301053
SIP D/A-A/D,0.384,20.97429250032411,20.96554869271423
SIP D/A-A/D,0.416,20.955894587049944,20.93634630912741
SIP D/A-A/D,0.448,20.924139900870344,20.907143925540584
SIP D/A-A/D,0.48,20.90881441339631,20.87794154195376
SIP D/A-A/D,0.512,20.890407084329485,20.848739158366936
SIP D/A-A/D,0.544,20.877627560546145,20.81953677478011
SIP D/A-A/D,0.576,20.859652435056894,20.79033439119329
SIP D/A-A/D,0.608,20.849155614420354,20.761132007606466
SIP D/A-A/D,0.64,20.819134657034002,20.731929624019642
SIP D/A-A/D,0.672,20.806809492740562,20.702727240432818
SIP D/A-A/D,0.704,20.768570924520372,20.673524856845994
SIP D/A-A/D,0.736,20.74864487318378,20.644322473259173
SIP D/A-A/D,0.768,20.728999095930767,20.61512008967235
SIP D/A-A/D,0.8,20.666993631487227,20.585917706085525
SIP D/A-A/D,0.832,20.63046643390212,20.5567153224987
SIP D/A-A/D,0.864,20.521227392882942,20.527512938911876
SIP D/A-A/D,0.896,20.474362637809094,20.498310555325055
SIP D/A-A/D,0.928,20.436724666653344,20.46910817173823
SIP D/A-A/D,0.96,20.381669796062504,20.439905788151407
SIP D/A-A/D,0.992,20.360554281780598,20.410703404564583
SIP D/A-A/D,1.024,20.31308177224463,20.38150102097776
SIP D/A-A/D,1.056,20.27650176935237,20.352298637390938
SIP D/A-A/D,1.088,20.260832804380726,20.323096253804113
SIP D/A-A/D,1.12,20.229481044209507,20.29389387021729
SIP D/A-A/D,1.152,20.226625311023625,20.264691486630465
SIP D/A-A/D,1.184,20.193093969108297,20.23548910304364
SIP D/A-A/D,1.216,20.170782699451358,20.20628671945682
SIP D/A-A/D,1.248,20.14042132431153,20.177084335869996
SIP D/A-A/D,1.28,20.110045877814986,20.14788195228317
SIP D/A-A/D,1.312,20.09889599833486,20.118679568696347
SIP D/A-A/D,1.344,20.09481670347966,20.089477185109523
SIP D/A-A/D,1.376,20.086207930845084,20.060274801522702
SIP D/A-A/D,1.408,20.078447216240424,20.031072417935878
SIP digital,0.064,10.0,9.999999999999993
SIP digital,0.096,10.0,9.999999999999993
SIP digital,0.128,10.0,9.999999999999993
SIP digital,0.16,10.0,9.999999999999993
SIP digital,0.192,10.0,9.999999999999993
SIP digital,0.224,10.0,9.999999999999993
SIP digital,0.256,10.0,9.999999999999993
SIP digital,0.288,10.0,9.999999999999993
SIP digital,0.32,10.0,9.999999999999993
SIP digital,0.352,10.0,9.999999999999995
SIP digital,0.384,10.0,9.999999999999995
SIP digital,0.416,10.0,9.999999999999995
SIP digital,0.448,10.0,9.999999999999995
SIP digital,0.48,10.0,9.999999999999995
SIP digital,0.512,10.0,9.999999999999995
SIP digital,0.544,10.0,9.999999999999995
SIP digital,0.576,10.0,9.999999999999995
SIP digital,0.608,10.0,9.999999999999995
SIP digital,0.64,10.0,9.999999999999995
SIP digital,0.672,10.0,9.999999999999995
SIP digital,0.704,10.0,9.999999999999995
SIP digital,0.736,10.0,9.999999999999995
SIP digital,0.768,10.0,9.999999999999995
SIP digital,0.8,10.0,9.999999999999995
SIP digital,0.832,10.0,9.999999999999995
SIP digital,0.864,10.0,9.999999999999995
SIP digital,0.896,10.0,9.999999999999995
SIP digital,0.928,10.0,9.999999999999995
SIP digital,0.96,10.0,9.999999999999995
SIP digital,0.992,10.0,9.999999999999995
SIP digital,1.024,10.0,9.999999999999995
SIP digital,1.056,10.0,9.999999999999996
SIP digital,1.088,10.0,9.999999999999996
SIP digital,1.12,10.0,9.999999999999996
SIP digital,1.152,10.0,9.999999999999996
SIP digital,1.184,10.0,9.999999999999996
SIP digital,1.216,10.0,9.999999999999996
SIP digital,1.248,10.0,9.999999999999996
SIP digital,1.28,10.0,9.999999999999996
SIP digital,1.312,10.0,9.999999999999996
SIP digital,1.344,10.0,9.999999999999996
SIP digital,1.376,10.0,9.999999999999996
SIP digital,1.408,10.0,9.999999999999996
