case,symbol,block_rms_error,filtered_mean_error
"Digital, synchronous",160,2.0,0.6000000000000001
"Digital, synchronous",320,2.0,1.02
"Digital, synchronous",480,2.0,1.314
"Digital, synchronous",640,2.0,1.5198
"Digital, synchronous",800,2.0,1.6638600000000001
"Digital, synchronous",960,2.0,1.764702
"Digital, synchronous",1120,1.7284386017443605,1.753822980523308
"Digital, synchronous",1280,1.1779218989389746,1.581052656048008
"Digital, synchronous",1440,0.5361902647381804,1.2675939386550596
"Digital, synchronous",1600,0.4031128874149275,1.00824962328302
"Digital, synchronous",1760,0.15811388300841897,0.7532089012006397
"Digital, synchronous",1920,0.0,0.5272462308404477
"Digital, synchronous",2080,0.0,0.3690723615883134
"Digital, synchronous",2240,0.0,0.2583506531118194
"Digital, synchronous",2400,0.0,0.18084545717827355
"Digital, synchronous",2560,0.0,0.12659182002479147
"Digital, synchronous",2720,0.0,0.08861427401735403
"Digital, synchronous",2880,0.0,0.062029991812147814
"Digital, synchronous",3040,0.0,0.04342099426850347
"Digital, synchronous",3200,0.0,0.030394695987952424
"Digital, synchronous",3360,0.0,0.021276287191566694
"Digital, synchronous",3520,0.0,0.014893401034096684
"Digital, synchronous",3680,0.0,0.010425380723867679
"Digital, synchronous",3840,0.0,0.007297766506707375
"Digital, synchronous",4000,0.0,0.005108436554695162
"Digital, synchronous",4160,0.0,0.0035759055882866133
"Digital, synchronous",4320,0.0,0.002503133911800629
"Digital, synchronous",4480,0.0,0.0017521937382604404
"Digital, synchronous",4640,0.0,0.0012265356167823081
"Digital, synchronous",4800,0.0,0.0008585749317476157
"Digital, synchronous",4960,0.0,0.0006010024522233309
"Digital, synchronous",5120,0.0,0.00042070171655633163
"Digital, synchronous",5280,0.0,0.00029449120158943213
"Digital, synchronous",5440,0.0,0.00020614384111260247
"Digital, synchronous",5600,0.0,0.00014430068877882172
"Digital, synchronous",5760,0.0,0.0001010104821451752
"Digital, synchronous",5920,0.0,0.0001
"Digital, synchronous",6080,0.0,0.0001
"Digital, synchronous",6240,0.0,0.0001
"Digital, synchronous",6400,0.0,0.0001
"Digital, synchronous",6560,0.0,0.0001
"Digital, synchronous",6720,0.0,0.0001
"Digital, synchronous",6880,0.0,0.0001
"Digital, synchronous",7040,0.0,0.0001
"Digital, synchronous",7200,0.0,0.0001
"Digital, synchronous",7360,0.0,0.0001
"Digital, synchronous",7520,0.0,0.0001
"Digital, synchronous",7680,0.0,0.0001
"Digital, synchronous",7840,0.0,0.0001
"Digital, synchronous",8000,0.0,0.0001
"Digital, synchronous",8160,0.0,0.0001
"Digital, synchronous",8320,0.0,0.0001
"Digital, synchronous",8480,0.0,0.0001
"Digital, synchronous",8640,0.0,0.0001
"Digital, synchronous",8800,0.0,0.0001
"Digital, synchronous",8960,0.0,0.0001
"Digital, synchronous",9120,0.0,0.0001
"Digital, synchronous",9280,0.0,0.0001
"Digital, synchronous",9440,0.0,0.0001
"Digital, synchronous",9600,0.0,0.0001
"Digital, synchronous",9760,0.0,0.0001
"Digital, synchronous",9920,0.0,0.0001
Measured SIP digital capture,160,2.0,0.6000000000000001
Measured SIP digital capture,320,2.0,1.02
Measured SIP digital capture,480,2.0,1.314
Measured SIP digital capture,640,2.0,1.5198
Measured SIP digital capture,800,2.0,1.6638600000000001
Measured SIP digital capture,960,2.0,1.764702
Measured SIP digital capture,1120,1.7284386017443605,1.753822980523308
Measured SIP digital capture,1280,1.1779218989389746,1.581052656048008
Measured SIP digital capture,1440,0.5361902647381804,1.2675939386550596
Measured SIP digital capture,1600,0.4031128874149275,1.00824962328302
Measured SIP digital capture,1760,0.15811388300841897,0.7532089012006397
Measured SIP digital capture,1920,0.0,0.5272462308404477
Measured SIP digital capture,2080,0.0,0.3690723615883134
Measured SIP digital capture,2240,0.0,0.2583506531118194
Measured SIP digital capture,2400,0.0,0.18084545717827355
Measured SIP digital capture,2560,0.0,0.12659182002479147
Measured SIP digital capture,2720,0.0,0.08861427401735403
Measured SIP digital capture,2880,0.0,0.062029991812147814
Measured SIP digital capture,3040,0.0,0.04342099426850347
Measured SIP digital capture,3200,0.0,0.030394695987952424
Measured SIP digital capture,3360,0.0,0.021276287191566694
Measured SIP digital capture,3520,0.0,0.014893401034096684
Measured SIP digital capture,3680,0.0,0.010425380723867679
Measured SIP digital capture,3840,0.0,0.007297766506707375
Measured SIP digital capture,4000,0.0,0.005108436554695162
Measured SIP digital capture,4160,0.0,0.0035759055882866133
Measured SIP digital capture,4320,0.0,0.002503133911800629
Measured SIP digital capture,4480,0.0,0.0017521937382604404
Measured SIP digital capture,4640,0.0,0.0012265356167823081
Measured SIP digital capture,4800,0.0,0.0008585749317476157
Measured SIP digital capture,4960,0.0,0.0006010024522233309
Measured SIP digital capture,5120,0.0,0.00042070171655633163
Measured SIP digital capture,5280,0.0,0.00029449120158943213
Measured SIP digital capture,5440,0.0,0.00020614384111260247
Measured SIP digital capture,5600,0.0,0.00014430068877882172
Measured SIP digital capture,5760,0.0,0.0001010104821451752
Measured SIP digital capture,5920,0.0,0.0001
Measured SIP digital capture,6080,0.0,0.0001
Measured SIP digital capture,6240,0.0,0.0001
Measured SIP digital capture,6400,0.0,0.0001
Measured SIP digital capture,6560,0.0,0.0001
Measured SIP digital capture,6720,0.0,0.0001
Measured SIP digital capture,6880,0.0,0.0001
Measured SIP digital capture,7040,0.0,0.0001
Measured SIP digital capture,7200,0.0,0.0001
Measured SIP digital capture,7360,0.0,0.0001
Measured SIP digital capture,7520,0.0,0.0001
Measured SIP digital capture,7680,0.0,0.0001
Measured SIP digital capture,7840,0.0,0.0001
Measured SIP digital capture,8000,0.0,0.0001
Measured SIP digital capture,8160,0.0,0.0001
Measured SIP digital capture,8320,0.0,0.0001
Measured SIP digital capture,8480,0.0,0.0001
Measured SIP digital capture,8640,0.0,0.0001
Measured SIP digital capture,8800,0.0,0.0001
Measured SIP digital capture,8960,0.0,0.0001
Measured SIP digital capture,9120,0.0,0.0001
